person_per_household,City,Year,poverty_line,Occ.Title..group.,mean_annual_salary
1,Chicago,2016,13755.682224785109,Agricultrual & Fishing Workers,28812.222222222223
1,Chicago,2016,13755.682224785109,All Occupations,52410
1,Chicago,2016,13755.682224785109,Bus Drivers,43450
1,Chicago,2016,13755.682224785109,Cashiers,27622.5
1,Chicago,2016,13755.682224785109,Childcare Workers,23875
1,Chicago,2016,13755.682224785109,Construction Workers,49088.666666666664
1,Chicago,2016,13755.682224785109,Cooks,24297
1,Chicago,2016,13755.682224785109,counselors,44540
1,Chicago,2016,13755.682224785109,Electricians,67280
1,Chicago,2016,13755.682224785109,Electricity,NA
1,Chicago,2016,13755.682224785109,emergency associated worker,34075
1,Chicago,2016,13755.682224785109,Ferry captains,58340
1,Chicago,2016,13755.682224785109,Food Preparation Workers,22392.5
1,Chicago,2016,13755.682224785109,Food Processing Workers,27983.125
1,Chicago,2016,13755.682224785109,Lab technician,49285
1,Chicago,2016,13755.682224785109,Machinists,43955
1,Chicago,2016,13755.682224785109,Nurses,89816.66666666667
1,Chicago,2016,13755.682224785109,Nursing home workers,27591.25
1,Chicago,2016,13755.682224785109,Oil Natural Gas,54700
1,Chicago,2016,13755.682224785109,Plumbers,69942.5
1,Chicago,2016,13755.682224785109,Postal Service & Delivery,45360
1,Chicago,2016,13755.682224785109,Servers,22463
1,Chicago,2016,13755.682224785109,social workers,59327.5
1,Chicago,2016,13755.682224785109,Subway and Streetcar Operators,65805
1,Chicago,2016,13755.682224785109,Taxi Drivers,27365
1,Chicago,2016,13755.682224785109,"Teachers, except secondary school",62437.5
1,Chicago,2016,13755.682224785109,Transportation Engineers,57342
1,Chicago,2016,13755.682224785109,Truck Drivers,38130
1,Chicago,2016,13755.682224785109,Water and Wastewater ,58750
2,Chicago,2016,18617.50363983235,Agricultrual & Fishing Workers,28812.222222222223
2,Chicago,2016,18617.50363983235,All Occupations,52410
2,Chicago,2016,18617.50363983235,Bus Drivers,43450
2,Chicago,2016,18617.50363983235,Cashiers,27622.5
2,Chicago,2016,18617.50363983235,Childcare Workers,23875
2,Chicago,2016,18617.50363983235,Construction Workers,49088.666666666664
2,Chicago,2016,18617.50363983235,Cooks,24297
2,Chicago,2016,18617.50363983235,counselors,44540
2,Chicago,2016,18617.50363983235,Electricians,67280
2,Chicago,2016,18617.50363983235,Electricity,NA
2,Chicago,2016,18617.50363983235,emergency associated worker,34075
2,Chicago,2016,18617.50363983235,Ferry captains,58340
2,Chicago,2016,18617.50363983235,Food Preparation Workers,22392.5
2,Chicago,2016,18617.50363983235,Food Processing Workers,27983.125
2,Chicago,2016,18617.50363983235,Lab technician,49285
2,Chicago,2016,18617.50363983235,Machinists,43955
2,Chicago,2016,18617.50363983235,Nurses,89816.66666666667
2,Chicago,2016,18617.50363983235,Nursing home workers,27591.25
2,Chicago,2016,18617.50363983235,Oil Natural Gas,54700
2,Chicago,2016,18617.50363983235,Plumbers,69942.5
2,Chicago,2016,18617.50363983235,Postal Service & Delivery,45360
2,Chicago,2016,18617.50363983235,Servers,22463
2,Chicago,2016,18617.50363983235,social workers,59327.5
2,Chicago,2016,18617.50363983235,Subway and Streetcar Operators,65805
2,Chicago,2016,18617.50363983235,Taxi Drivers,27365
2,Chicago,2016,18617.50363983235,"Teachers, except secondary school",62437.5
2,Chicago,2016,18617.50363983235,Transportation Engineers,57342
2,Chicago,2016,18617.50363983235,Truck Drivers,38130
2,Chicago,2016,18617.50363983235,Water and Wastewater ,58750
3,Chicago,2016,23479.325054879595,Agricultrual & Fishing Workers,28812.222222222223
3,Chicago,2016,23479.325054879595,All Occupations,52410
3,Chicago,2016,23479.325054879595,Bus Drivers,43450
3,Chicago,2016,23479.325054879595,Cashiers,27622.5
3,Chicago,2016,23479.325054879595,Childcare Workers,23875
3,Chicago,2016,23479.325054879595,Construction Workers,49088.666666666664
3,Chicago,2016,23479.325054879595,Cooks,24297
3,Chicago,2016,23479.325054879595,counselors,44540
3,Chicago,2016,23479.325054879595,Electricians,67280
3,Chicago,2016,23479.325054879595,Electricity,NA
3,Chicago,2016,23479.325054879595,emergency associated worker,34075
3,Chicago,2016,23479.325054879595,Ferry captains,58340
3,Chicago,2016,23479.325054879595,Food Preparation Workers,22392.5
3,Chicago,2016,23479.325054879595,Food Processing Workers,27983.125
3,Chicago,2016,23479.325054879595,Lab technician,49285
3,Chicago,2016,23479.325054879595,Machinists,43955
3,Chicago,2016,23479.325054879595,Nurses,89816.66666666667
3,Chicago,2016,23479.325054879595,Nursing home workers,27591.25
3,Chicago,2016,23479.325054879595,Oil Natural Gas,54700
3,Chicago,2016,23479.325054879595,Plumbers,69942.5
3,Chicago,2016,23479.325054879595,Postal Service & Delivery,45360
3,Chicago,2016,23479.325054879595,Servers,22463
3,Chicago,2016,23479.325054879595,social workers,59327.5
3,Chicago,2016,23479.325054879595,Subway and Streetcar Operators,65805
3,Chicago,2016,23479.325054879595,Taxi Drivers,27365
3,Chicago,2016,23479.325054879595,"Teachers, except secondary school",62437.5
3,Chicago,2016,23479.325054879595,Transportation Engineers,57342
3,Chicago,2016,23479.325054879595,Truck Drivers,38130
3,Chicago,2016,23479.325054879595,Water and Wastewater ,58750
4,Chicago,2016,28341.146469926836,Agricultrual & Fishing Workers,28812.222222222223
4,Chicago,2016,28341.146469926836,All Occupations,52410
4,Chicago,2016,28341.146469926836,Bus Drivers,43450
4,Chicago,2016,28341.146469926836,Cashiers,27622.5
4,Chicago,2016,28341.146469926836,Childcare Workers,23875
4,Chicago,2016,28341.146469926836,Construction Workers,49088.666666666664
4,Chicago,2016,28341.146469926836,Cooks,24297
4,Chicago,2016,28341.146469926836,counselors,44540
4,Chicago,2016,28341.146469926836,Electricians,67280
4,Chicago,2016,28341.146469926836,Electricity,NA
4,Chicago,2016,28341.146469926836,emergency associated worker,34075
4,Chicago,2016,28341.146469926836,Ferry captains,58340
4,Chicago,2016,28341.146469926836,Food Preparation Workers,22392.5
4,Chicago,2016,28341.146469926836,Food Processing Workers,27983.125
4,Chicago,2016,28341.146469926836,Lab technician,49285
4,Chicago,2016,28341.146469926836,Machinists,43955
4,Chicago,2016,28341.146469926836,Nurses,89816.66666666667
4,Chicago,2016,28341.146469926836,Nursing home workers,27591.25
4,Chicago,2016,28341.146469926836,Oil Natural Gas,54700
4,Chicago,2016,28341.146469926836,Plumbers,69942.5
4,Chicago,2016,28341.146469926836,Postal Service & Delivery,45360
4,Chicago,2016,28341.146469926836,Servers,22463
4,Chicago,2016,28341.146469926836,social workers,59327.5
4,Chicago,2016,28341.146469926836,Subway and Streetcar Operators,65805
4,Chicago,2016,28341.146469926836,Taxi Drivers,27365
4,Chicago,2016,28341.146469926836,"Teachers, except secondary school",62437.5
4,Chicago,2016,28341.146469926836,Transportation Engineers,57342
4,Chicago,2016,28341.146469926836,Truck Drivers,38130
4,Chicago,2016,28341.146469926836,Water and Wastewater ,58750
5,Chicago,2016,33202.96788497408,Agricultrual & Fishing Workers,28812.222222222223
5,Chicago,2016,33202.96788497408,All Occupations,52410
5,Chicago,2016,33202.96788497408,Bus Drivers,43450
5,Chicago,2016,33202.96788497408,Cashiers,27622.5
5,Chicago,2016,33202.96788497408,Childcare Workers,23875
5,Chicago,2016,33202.96788497408,Construction Workers,49088.666666666664
5,Chicago,2016,33202.96788497408,Cooks,24297
5,Chicago,2016,33202.96788497408,counselors,44540
5,Chicago,2016,33202.96788497408,Electricians,67280
5,Chicago,2016,33202.96788497408,Electricity,NA
5,Chicago,2016,33202.96788497408,emergency associated worker,34075
5,Chicago,2016,33202.96788497408,Ferry captains,58340
5,Chicago,2016,33202.96788497408,Food Preparation Workers,22392.5
5,Chicago,2016,33202.96788497408,Food Processing Workers,27983.125
5,Chicago,2016,33202.96788497408,Lab technician,49285
5,Chicago,2016,33202.96788497408,Machinists,43955
5,Chicago,2016,33202.96788497408,Nurses,89816.66666666667
5,Chicago,2016,33202.96788497408,Nursing home workers,27591.25
5,Chicago,2016,33202.96788497408,Oil Natural Gas,54700
5,Chicago,2016,33202.96788497408,Plumbers,69942.5
5,Chicago,2016,33202.96788497408,Postal Service & Delivery,45360
5,Chicago,2016,33202.96788497408,Servers,22463
5,Chicago,2016,33202.96788497408,social workers,59327.5
5,Chicago,2016,33202.96788497408,Subway and Streetcar Operators,65805
5,Chicago,2016,33202.96788497408,Taxi Drivers,27365
5,Chicago,2016,33202.96788497408,"Teachers, except secondary school",62437.5
5,Chicago,2016,33202.96788497408,Transportation Engineers,57342
5,Chicago,2016,33202.96788497408,Truck Drivers,38130
5,Chicago,2016,33202.96788497408,Water and Wastewater ,58750
6,Chicago,2016,38064.78930002132,Agricultrual & Fishing Workers,28812.222222222223
6,Chicago,2016,38064.78930002132,All Occupations,52410
6,Chicago,2016,38064.78930002132,Bus Drivers,43450
6,Chicago,2016,38064.78930002132,Cashiers,27622.5
6,Chicago,2016,38064.78930002132,Childcare Workers,23875
6,Chicago,2016,38064.78930002132,Construction Workers,49088.666666666664
6,Chicago,2016,38064.78930002132,Cooks,24297
6,Chicago,2016,38064.78930002132,counselors,44540
6,Chicago,2016,38064.78930002132,Electricians,67280
6,Chicago,2016,38064.78930002132,Electricity,NA
6,Chicago,2016,38064.78930002132,emergency associated worker,34075
6,Chicago,2016,38064.78930002132,Ferry captains,58340
6,Chicago,2016,38064.78930002132,Food Preparation Workers,22392.5
6,Chicago,2016,38064.78930002132,Food Processing Workers,27983.125
6,Chicago,2016,38064.78930002132,Lab technician,49285
6,Chicago,2016,38064.78930002132,Machinists,43955
6,Chicago,2016,38064.78930002132,Nurses,89816.66666666667
6,Chicago,2016,38064.78930002132,Nursing home workers,27591.25
6,Chicago,2016,38064.78930002132,Oil Natural Gas,54700
6,Chicago,2016,38064.78930002132,Plumbers,69942.5
6,Chicago,2016,38064.78930002132,Postal Service & Delivery,45360
6,Chicago,2016,38064.78930002132,Servers,22463
6,Chicago,2016,38064.78930002132,social workers,59327.5
6,Chicago,2016,38064.78930002132,Subway and Streetcar Operators,65805
6,Chicago,2016,38064.78930002132,Taxi Drivers,27365
6,Chicago,2016,38064.78930002132,"Teachers, except secondary school",62437.5
6,Chicago,2016,38064.78930002132,Transportation Engineers,57342
6,Chicago,2016,38064.78930002132,Truck Drivers,38130
6,Chicago,2016,38064.78930002132,Water and Wastewater ,58750
7,Chicago,2016,42926.610715068564,Agricultrual & Fishing Workers,28812.222222222223
7,Chicago,2016,42926.610715068564,All Occupations,52410
7,Chicago,2016,42926.610715068564,Bus Drivers,43450
7,Chicago,2016,42926.610715068564,Cashiers,27622.5
7,Chicago,2016,42926.610715068564,Childcare Workers,23875
7,Chicago,2016,42926.610715068564,Construction Workers,49088.666666666664
7,Chicago,2016,42926.610715068564,Cooks,24297
7,Chicago,2016,42926.610715068564,counselors,44540
7,Chicago,2016,42926.610715068564,Electricians,67280
7,Chicago,2016,42926.610715068564,Electricity,NA
7,Chicago,2016,42926.610715068564,emergency associated worker,34075
7,Chicago,2016,42926.610715068564,Ferry captains,58340
7,Chicago,2016,42926.610715068564,Food Preparation Workers,22392.5
7,Chicago,2016,42926.610715068564,Food Processing Workers,27983.125
7,Chicago,2016,42926.610715068564,Lab technician,49285
7,Chicago,2016,42926.610715068564,Machinists,43955
7,Chicago,2016,42926.610715068564,Nurses,89816.66666666667
7,Chicago,2016,42926.610715068564,Nursing home workers,27591.25
7,Chicago,2016,42926.610715068564,Oil Natural Gas,54700
7,Chicago,2016,42926.610715068564,Plumbers,69942.5
7,Chicago,2016,42926.610715068564,Postal Service & Delivery,45360
7,Chicago,2016,42926.610715068564,Servers,22463
7,Chicago,2016,42926.610715068564,social workers,59327.5
7,Chicago,2016,42926.610715068564,Subway and Streetcar Operators,65805
7,Chicago,2016,42926.610715068564,Taxi Drivers,27365
7,Chicago,2016,42926.610715068564,"Teachers, except secondary school",62437.5
7,Chicago,2016,42926.610715068564,Transportation Engineers,57342
7,Chicago,2016,42926.610715068564,Truck Drivers,38130
7,Chicago,2016,42926.610715068564,Water and Wastewater ,58750
8,Chicago,2016,47788.432130115805,Agricultrual & Fishing Workers,28812.222222222223
8,Chicago,2016,47788.432130115805,All Occupations,52410
8,Chicago,2016,47788.432130115805,Bus Drivers,43450
